"","city_name","lon","lat","flights.sum","type","cancelled.percent","delay.percent","nas_delay.percent","carrier_delay.percent","weather_delay.percent","security_delay.percent","late_aircraft_delay.percent"
"59","Chattanooga, TN",-85.3096801,35.0456297,4885,"destination",0.0190378710337769,0.312998976458547,0.111566018423746,0.107267144319345,0.0143295803480041,0.000204708290685773,0.11136131013306
"60","Chicago, IL",-87.6297982,41.8781136,375176,"destination",0.0183567179137258,0.309977184041623,0.10024095357912,0.0717130093609399,0.00868125892914259,0.000549075633835853,0.0930256732840054
"61","Cincinnati, OH",-84.5120196,39.1031182,29327,"destination",0.0162648753708187,0.32724110887578,0.0819040474647935,0.0922017253725236,0.0114229208579125,0.000272786169741194,0.100283015651106
"62","Clarksburg/Fairmont, WV",-80.1425781,39.4850848,373,"destination",0.0294906166219839,0.260053619302949,0.112600536193029,0.107238605898123,0.00536193029490617,0,0.109919571045576
"63","Cleveland, OH",-81.6943605,41.49932,40711,"destination",0.0170715531428852,0.317899339244922,0.0805679054800914,0.0939795141362285,0.00913757952396158,0.000147380314902606,0.0983763601974896
"64","Cody, WY",-109.0565308,44.5263422,993,"destination",0.0080563947633434,0.149043303121853,0.0453172205438066,0.0362537764350453,0.0080563947633434,0,0.0322255790533736
"65","College Station/Bryan, TX",-96.3344068,30.627977,1650,"destination",0.0260606060606061,0.183636363636364,0.0545454545454545,0.0642424242424242,0.00787878787878788,0,0.0636363636363636
"66","Colorado Springs, CO",-104.8213634,38.8338816,9705,"destination",0.0110252447192169,0.314374034003091,0.104482225656878,0.0977846470891293,0.00999484801648635,0.00020607934054611,0.107882534775889
"67","Columbia, MO",-92.3340724,38.9517053,1339,"destination",0.029126213592233,0.256908140403286,0.087378640776699,0.0791635548917102,0.0224047796863331,0,0.0963405526512323
"68","Columbia, SC",-81.0348144,34.0007104,4391,"destination",0.0191300387155545,0.304941926668185,0.0598952402641767,0.101799134593487,0.0152584832612161,0,0.0787975404235937
"69","Columbus, GA",-84.9877094,32.4609764,848,"destination",0.00707547169811321,0.273584905660377,0.0825471698113208,0.110849056603774,0.00943396226415094,0,0.0825471698113208
"70","Columbus, MS",-88.4272627,33.4956744,957,"destination",0.0135841170323929,0.260188087774295,0.0971786833855799,0.071055381400209,0.00731452455590387,0,0.119122257053292
"71","Columbus, OH",-82.9987942,39.9611755,30986,"destination",0.0168140450526044,0.363874007616343,0.0790679661782741,0.106725618021042,0.0100367908087523,0.000419544310333699,0.105273349254502
"72","CONCORD, NC",-80.579511,35.4087517,292,"destination",0.00684931506849315,0.318493150684932,0.089041095890411,0.0924657534246575,0.0136986301369863,0,0.0753424657534247
"73","Cordova, AK",-145.7525414,60.5424087,724,"destination",0.00966850828729282,0.203038674033149,0.0883977900552486,0.0566298342541436,0.00552486187845304,0,0.0662983425414365
"74","Corpus Christi, TX",-97.396381,27.8005828,3585,"destination",0.0396094839609484,0.307949790794979,0.0825662482566248,0.104044630404463,0.0136680613668061,0,0.111297071129707
"75","Dallas, TX",-96.7969879,32.7766642,70157,"destination",0.0152657610787234,0.459726043017803,0.0955571076300298,0.121342132645353,0.00602933420756304,0.000812463474777998,0.137163789785766
"76","Dallas/Fort Worth, TX",-97.0403352,32.8998091,210461,"destination",0.014976646504578,0.286936772133554,0.0866858942987062,0.0735528197623313,0.0112942540423166,0.000850513871928766,0.0788554649079877
"77","Dayton, OH",-84.1916069,39.7589478,8332,"destination",0.0249639942390783,0.306769083053289,0.0969755160825732,0.106577052328373,0.0159625540086414,0.000480076812289966,0.10741718674988
"78","Daytona Beach, FL",-81.0228331,29.2108147,2516,"destination",0.0151033386327504,0.341017488076312,0.0731319554848967,0.0949920508744038,0.0250397456279809,0.00158982511923688,0.0747217806041336
"79","Deadhorse, AK",-148.4597191,70.2001996,763,"destination",0.00655307994757536,0.155963302752294,0.0445609436435125,0.0406290956749672,0.00917431192660551,0,0.0235910878112713
"80","Denver, CO",-104.990251,39.7392358,226826,"destination",0.00646751254265384,0.326911377002636,0.0774778905416487,0.0785403789689013,0.00688633578161234,0.00046290989569097,0.0850078915115551
"81","Des Moines, IA",-93.6091064,41.6005448,10464,"destination",0.0122324159021407,0.308103975535168,0.0829510703363914,0.0950879204892966,0.0109900611620795,0.000191131498470948,0.0913608562691132
"82","Detroit, MI",-83.0457538,42.331427,137402,"destination",0.0119066680252107,0.288088965226125,0.0694676933377971,0.064984498042241,0.00926478508318656,0.000531287754181162,0.0816509221117597
"83","Devils Lake, ND",-98.8651202,48.112779,624,"destination",0.0432692307692308,0.22275641025641,0.0608974358974359,0.046474358974359,0.00480769230769231,0.0016025641025641,0.0897435897435897
"84","Dillingham, AK",-158.4575,59.0397222,84,"destination",0,0.130952380952381,0.0476190476190476,0.0595238095238095,0.0119047619047619,0,0
"85","Dothan, AL",-85.3904888,31.2232313,1293,"destination",0.0139211136890951,0.272235112142305,0.0951276102088167,0.0835266821345708,0.00618716163959783,0,0.11446249033256
"86","Dubuque, IA",-90.6645718,42.5005583,343,"destination",0.0583090379008746,0.204081632653061,0.116618075801749,0.0553935860058309,0.0379008746355685,0,0.102040816326531
"87","Duluth, MN",-92.1004852,46.7866719,2729,"destination",0.0359105899596922,0.278123854891902,0.0652253572737266,0.0787834371564676,0.0117259069256138,0,0.0809820447050202
"88","Durango, CO",-107.8800667,37.27528,1926,"destination",0.014018691588785,0.233125649013499,0.0794392523364486,0.0758047767393562,0.0083073727933541,0.000519210799584631,0.0794392523364486
"89","Eagle, CO",-106.8286507,39.6552634,1795,"destination",0.0161559888579387,0.319777158774373,0.133147632311978,0.106406685236769,0.0284122562674095,0.000557103064066852,0.0596100278551532
"90","Eau Claire, WI",-91.4984941,44.811349,687,"destination",0.0291120815138282,0.245997088791849,0.0902474526928675,0.0946142649199418,0.00873362445414847,0,0.0975254730713246
"91","El Paso, TX",-106.4850217,31.7618778,12399,"destination",0.0114525364948786,0.430760545205258,0.0687152189692717,0.126703766432777,0.00911363819662876,0.000403258327284458,0.136381966287604
"92","Elko, NV",-115.7631232,40.8324211,660,"destination",0.00303030303030303,0.0909090909090909,0.0636363636363636,0.0196969696969697,0.0121212121212121,0,0.0333333333333333
"93","Elmira/Corning, NY",-76.893638,42.15987,286,"destination",0,0.314685314685315,0.0664335664335664,0.111888111888112,0,0,0.0734265734265734
"94","Erie, PA",-80.085059,42.1292241,1368,"destination",0.0160818713450292,0.27046783625731,0.0855263157894737,0.0833333333333333,0.0087719298245614,0,0.0928362573099415
"95","Escanaba, MI",-87.0645801,45.7452466,625,"destination",0.0176,0.232,0.0656,0.0608,0.016,0,0.064
"96","Eugene, OR",-123.0867536,44.0520691,4146,"destination",0.00410033767486734,0.274963820549928,0.100820067534973,0.0805595754944525,0.00361794500723589,0.000241196333815726,0.101543656536421
