"","city_name","lon","lat","dest_cancelled.counter","dest_delay.counter","dest_nas_delay.counter","dest_carrier_delay.counter","dest_weather_delay.counter","dest_security_delay.counter","dest_late_aircraft_delay.counter","origin_flights.sum","origin_cancelled.counter","origin_delay.counter","origin_nas_delay.counter","origin_carrier_delay.counter","origin_weather_delay.counter","origin_security_delay.counter","origin_late_aircraft_delay.counter"
"98","Fairbanks, AK",-147.7163888,64.8377778,25,903,316,171,18,9,137,3603,20,611,198,142,8,8,103
"99","Fargo, ND",-96.7898034,46.8771863,60,1005,325,317,50,1,312,4141,66,912,404,204,34,3,337
"100","Fayetteville, AR",-94.1718542,36.082156,128,2079,683,652,95,0,637,7510,144,1774,622,304,89,3,685
"101","Fayetteville, NC",-78.8783585,35.0526641,28,631,162,222,37,2,190,1937,32,603,157,133,16,0,226
"102","Flagstaff, AZ",-111.651302,35.1982836,19,257,49,58,2,0,85,1286,20,278,79,34,5,3,72
"103","Flint, MI",-83.6874562,43.0125274,80,1391,333,339,58,2,434,4107,78,1111,487,280,30,4,431
"104","Florence, SC",-79.7625625,34.1954331,2,61,18,30,2,0,20,156,3,64,10,31,0,0,24
"105","Fort Lauderdale, FL",-80.1373174,26.1224386,2118,34140,10212,10824,728,89,8739,88767,2056,34941,11391,10716,1304,213,9253
"106","Fort Myers, FL",-81.8723084,26.640628,586,10671,3227,3367,330,11,2555,31205,617,10089,2806,2490,178,9,3107
"107","Fort Smith, AR",-94.3985475,35.3859242,21,335,96,129,10,0,125,1383,22,231,75,64,14,0,113
"108","Fort Wayne, IN",-85.1393513,41.079273,90,1914,665,587,84,2,878,6144,77,1585,604,458,56,3,558
"109","Fresno, CA",-119.7871247,36.7377981,43,2094,619,602,33,0,794,8843,53,2035,721,498,20,2,549
"110","Gainesville, FL",-82.3248262,29.6516344,27,664,195,238,30,0,214,2157,35,662,179,184,18,0,254
"111","Garden City, KS",-100.8726618,37.9716898,5,42,16,12,11,0,19,240,5,65,14,11,7,0,17
"112","Gillette, WY",-105.5022205,44.2910915,13,203,80,64,9,0,83,976,14,169,67,27,10,1,76
"113","Grand Forks, ND",-97.0328547,47.9252568,25,328,100,100,11,0,95,1568,28,273,100,59,19,5,112
"114","Grand Island, NE",-98.3420118,40.9263957,11,150,58,54,9,0,58,533,11,187,75,51,21,2,41
"115","Grand Junction, CO",-108.5506486,39.0638705,6,495,140,123,13,0,135,2877,9,380,110,56,7,0,126
"116","Grand Rapids, MI",-85.6680863,42.9633599,206,4102,1072,1285,168,3,1222,12662,199,3579,1342,857,136,2,1223
"117","Great Falls, MT",-111.3007715,47.5052849,6,330,80,97,8,0,74,1636,6,278,80,51,20,0,73
"118","Green Bay, WI",-88.0132958,44.5133188,92,1134,387,323,42,0,418,4425,94,796,381,128,27,1,370
"119","Greensboro/High Point, NC",-79.8296743,36.0899873,190,2533,742,839,133,1,770,7847,214,2058,874,487,45,1,733
"120","Greenville, NC",-77.3663538,35.612661,3,33,15,18,2,0,13,99,3,42,11,19,0,1,16
"121","Greer, SC",-82.2270568,34.9387279,120,2789,607,896,123,3,834,8200,138,2262,650,477,30,6,622
"122","Gulfport/Biloxi, MS",-89.0928155,30.3674198,59,692,224,231,44,3,169,2893,62,610,212,127,23,0,199
"123","Gunnison, CO",-106.9253207,38.5458246,1,44,17,22,2,0,7,183,2,40,10,3,1,0,19
"124","Gustavus, AK",-135.7369443,58.4133333,4,18,3,4,1,0,3,84,4,14,7,6,0,2,8
"125","Hagerstown, MD",-77.7199932,39.6417629,0,15,4,10,0,0,5,35,0,20,6,5,3,1,14
"126","Hancock/Houghton, MI",-88.5809563,47.1268714,37,187,67,52,6,1,75,727,40,126,64,30,7,2,55
"127","Harlingen/San Benito, TX",-97.6311006,26.132576,82,1255,185,345,17,1,442,2826,85,988,262,245,10,1,416
"128","Harrisburg, PA",-76.8867008,40.2731911,93,1092,315,341,66,0,278,4263,100,940,314,215,40,0,297
"129","Hartford, CT",-72.6733723,41.7658043,570,8777,1767,2803,273,13,2350,23966,606,6788,2078,1994,156,5,1867
"130","Hattiesburg/Laurel, MS",-89.335421,31.468239,23,239,103,49,4,0,164,722,30,219,86,72,5,2,88
"131","Hayden, CO",-107.2636842,40.4894302,10,331,138,106,28,0,85,1131,24,292,101,56,13,0,117
"132","Hays, KS",-99.3267702,38.8791783,11,139,61,45,4,0,66,664,13,120,45,19,3,0,46
"133","Helena, MT",-112.0391057,46.5891452,7,356,101,92,10,0,93,1670,7,239,122,54,9,1,51
"134","Hibbing, MN",-92.9376887,47.4271546,10,81,22,21,7,0,23,624,11,93,43,18,4,1,35
"135","Hilo, HI",-155.0868193,19.7241106,11,1648,61,505,42,1,336,6208,17,1805,59,364,47,0,521
"136","Hobbs, NM",-103.1360403,32.7026116,19,94,34,26,5,0,19,659,21,62,41,11,7,0,11
"137","Honolulu, HI",-157.8583333,21.3069444,165,15448,1280,4005,425,19,3037,48154,146,12494,992,3832,202,25,1788
"138","Houston, TX",-95.3698028,29.7604267,6241,56477,17098,14269,1618,70,14977,196892,6209,62766,15271,15930,2129,57,15018
"139","Huntsville, AL",-86.5861037,34.7303688,108,1468,342,463,93,3,387,5398,117,1167,373,248,37,1,439
"140","Hyannis, MA",-70.2881124,41.6524911,1,28,8,17,0,0,12,94,1,52,19,10,1,1,15
"141","Idaho Falls, ID",-112.0407584,43.4926607,6,514,151,151,20,0,141,2455,9,477,118,64,11,0,162
"142","Indianapolis, IN",-86.158068,39.768403,485,12246,2575,3588,318,15,3565,34035,484,10421,3281,2433,369,8,2878
"143","International Falls, MN",-93.4040679,48.6023149,11,108,27,25,6,0,29,625,12,91,40,12,1,1,54
