"","origin_city_name","origin.sum"
"290","Seattle, WA",139132
"291","Shreveport, LA",5285
"292","Sioux City, IA",397
"293","Sioux Falls, SD",4990
"294","Sitka, AK",1344
"295","South Bend, IN",5653
"296","Spokane, WA",12143
"297","Springfield, IL",1295
"298","Springfield, MO",4699
"299","St. Augustine, FL",60
"300","St. Cloud, MN",71
"301","St. George, UT",3030
"302","St. Louis, MO",59350
"303","St. Petersburg, FL",2559
"304","State College, PA",1494
"305","Staunton, VA",74
"306","Stillwater, OK",227
"307","Stockton, CA",223
"308","Sun Valley/Hailey/Ketchum, ID",1277
"309","Syracuse, NY",8781
"310","Tallahassee, FL",3348
"311","Tampa, FL",70944
"312","Texarkana, AR",329
"313","Toledo, OH",942
"314","Traverse City, MI",3272
"315","Trenton, NJ",2149
"316","Tucson, AZ",15958
"317","Tulsa, OK",14779
"318","Twin Falls, ID",1169
"319","Tyler, TX",478
"320","Valdosta, GA",668
"321","Valparaiso, FL",4645
"322","Waco, TX",468
"323","Washington, DC",138488
"324","Waterloo, IA",647
"325","West Palm Beach/Palm Beach, FL",24668
"326","West Yellowstone, MT",232
"327","White Plains, NY",7685
"328","Wichita Falls, TX",354
"329","Wichita, KS",8713
"330","Williston, ND",1326
"331","Wilmington, NC",3293
"332","Worcester, MA",718
"333","Wrangell, AK",726
"334","Yakutat, AK",724
"335","Youngstown/Warren, OH",2
"336","Yuma, AZ",1380
